Date,Predicted EV Total,Cumulative EV,Source
2022-06-30,1,19.0,Forecast
2022-07-31,1,20.0,Forecast
2022-08-31,1,21.0,Forecast
2022-09-30,1,22.0,Forecast
2022-10-31,1,23.0,Forecast
2022-11-30,1,24.0,Forecast
2022-12-31,1,25.0,Forecast
2023-01-31,1,26.0,Forecast
2023-02-28,2,28.0,Forecast
2023-03-31,2,30.0,Forecast
2023-04-30,2,32.0,Forecast
2023-05-31,2,34.0,Forecast
2023-06-30,3,37.0,Forecast
2023-07-31,3,40.0,Forecast
2023-08-31,3,43.0,Forecast
2023-09-30,3,46.0,Forecast
2023-10-31,3,49.0,Forecast
2023-11-30,3,52.0,Forecast
2023-12-31,3,55.0,Forecast
2024-01-31,3,58.0,Forecast
2024-02-29,4,62.0,Forecast
2024-03-31,4,66.0,Forecast
2024-04-30,4,70.0,Forecast
2024-05-31,4,74.0,Forecast
2024-06-30,4,78.0,Forecast
2024-07-31,4,82.0,Forecast
2024-08-31,4,86.0,Forecast
2024-09-30,4,90.0,Forecast
2024-10-31,4,94.0,Forecast
2024-11-30,4,98.0,Forecast
2024-12-31,4,102.0,Forecast
2025-01-31,5,107.0,Forecast
2025-02-28,5,112.0,Forecast
2025-03-31,5,117.0,Forecast
2025-04-30,5,122.0,Forecast
2025-05-31,5,127.0,Forecast
